Unnamed: 0,Date,User,Tweet,Tweet Language,Like Count,Reetweet Count,Reply Count,Quote Count,Hashtags,inReplyToUser,Mentioned Users,Month,Year,Mention Count,Hashtag Count,Emoji Count,Word Count,Tweet Vulgarity,New Tweet,Sentiment Subjectivity,Sentiment Polarity,ASCII Tweet,Character Count
664,2018-01-03 18:00:03+00:00,Cristiano,A new year can mean new goals 🏆. What are yours? #BehindTheResults https://t.co/KuCbOJswpZ,en,57605,5013,1192,233,['BehindTheResults'],0,0,1,2018,0,1,1,13,False,new year mean new goals 🏆 behindtheresults,0.5321969696969697,-0.013257575757575765,131903,90
663,2018-01-05 18:05:37+00:00,Cristiano,Home away from home #pestanacr7lisbon https://t.co/LB4KiKpK13,en,70327,5408,1156,198,['pestanacr7lisbon'],0,0,1,2018,0,1,0,6,False,home away home pestanacr7lisbon,0.0,0.0,3043,61
661,2018-01-11 08:00:02+00:00,Cristiano,"The wait is over, my AF1 CR7 is launching today! Now available Globally on https://t.co/hiajNcJH0B, the Nike SNEAKRS App and select retailers.👌 #AF1 #CR7 https://t.co/9ByGWNqYXj",en,39454,3675,724,398,"['AF1', 'CR7']",0,0,1,2018,0,2,1,25,False,wait af1 cr7 launching today available globally nike sneakrs app select retailers👌 af1 cr7,0.2,0.2,136356,177
660,2018-01-15 15:08:48+00:00,Cristiano,Wearing my Signature CR7 Steel Shirt 👌 Comfort is the new luxury. Find yours now on https://t.co/rIL6OxcBQk @cr7limitless #CR7Denim https://t.co/t9SGSc7nsh,en,36648,2804,871,190,['CR7Denim'],0,"[User(username='CR7limitless', id=847086754226167808, displayname='CR7', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1,2018,1,1,1,20,False,wearing signature cr7 steel shirt 👌 comfort new luxury find cr7limitless cr7denim,0.45454545454545453,0.13636363636363635,135767,155
659,2018-01-16 17:41:42+00:00,Cristiano,Honored to be nominated for the 2017 Laureus Sportsman of the Year Award. This is only possible because of the great team effort at Real Madrid. Thanks to all my team-mates and also to the world’s media for having placed me among the candidates to win this very special award.,en,53513,6891,1539,281,0,0,0,1,2018,0,0,0,50,False,honored nominated 2017 laureus sportsman year award possible great team effort real madrid thanks teammates also world’s media placed among candidates win special award,0.6275510204081632,0.3520408163265306,24108,276
658,2018-01-19 16:00:04+00:00,Cristiano,9️⃣9️⃣! Highest-rated player in the @easportsfifa Team of the Year! Thanks for picking me 🙌 https://t.co/ak34v7CWBe #FIFA18 #FUT #TOTY https://t.co/i5Iti8nl0l,en,43683,5818,923,388,"['FIFA18', 'FUT', 'TOTY']",0,"[User(username='EASPORTSFIFA', id=105297123, displayname='EA SPORTS FIFA', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1,2018,1,3,1,20,False,9️⃣9️⃣ highestrated player easportsfifa team year thanks picking 🙌 fifa18 fut toty,0.2,0.2,282742,158
656,2018-01-20 18:04:53+00:00,Cristiano,"You might see the shots I take on the field, but you don’t see what’s behind those results - countless hours of training and a commitment to good nutrition. https://t.co/ovJlD6pc7p",en,59409,6715,1205,455,0,0,0,1,2018,0,0,0,30,False,might see shots take field don’t see what’s behind results countless hours training commitment good nutrition,0.6,0.09999999999999998,26902,180
652,2018-01-29 14:43:42+00:00,Cristiano,Glad to win the award of the 懂球帝(All Football) 2017 best player. Thanks to the Chinese fans who have voted on me. https://t.co/B92Os5fbXx,en,74143,8169,1448,396,0,0,0,1,2018,0,0,0,23,False,glad win award 懂球帝all football 2017 best player thanks chinese fans voted,0.38,0.5,85242,137
651,2018-01-30 13:38:05+00:00,Cristiano,"Esta noche no te pierdas “En el corazón de la 12”, en RMTV (22:30h) https://t.co/dWGZdy2sd6",es,37691,6272,547,241,0,0,0,1,2018,0,0,0,15,False,esta noche te pierdas “en el corazón de la 12” en rmtv 2230h,0.0,0.0,21532,91
650,2018-01-30 20:00:04+00:00,Cristiano,Denim on denim 👖 living in my CR7 jeans 👌 Get yours now on https://t.co/rIL6OwV0rK @cr7limitless #CR7Denim #CR7Jeans https://t.co/pc6ippbitm,en,36357,2916,610,183,"['CR7Denim', 'CR7Jeans']",0,"[User(username='CR7limitless', id=847086754226167808, displayname='CR7', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1,2018,1,2,2,19,False,denim denim 👖 living cr7 jeans 👌 get cr7limitless cr7denim cr7jeans,0.0,0.0,262138,140
648,2018-01-31 20:00:05+00:00,Cristiano,#CR7Fragrance the perfect scent for Valentines day! https://t.co/gNubub7SDE,en,21473,1753,375,65,['CR7Fragrance'],0,0,1,2018,0,1,0,8,False,cr7fragrance perfect scent valentines day,1.0,1.0,4018,75
647,2018-02-01 16:02:21+00:00,Cristiano,New jersey. Thoughts? 😉 #Ad https://t.co/7icciDe4UR,en,37207,3473,623,179,['Ad'],0,0,2,2018,0,1,1,6,False,new jersey thoughts 😉 ad,0.45454545454545453,0.13636363636363635,130720,51
644,2018-02-05 01:51:51+00:00,Cristiano,"Not bad for my first time playing football 💪🏼 
https://t.co/oAaLFOnMn8",en,58387,10391,934,630,0,0,0,2,2018,0,0,1,10,False,bad first time playing football 💪🏼,0.5,0.29999999999999993,259211,70
642,2018-02-05 19:29:52+00:00,Cristiano,Job done with a special partner on my birthday!💪🏽❤️#livelifefit https://t.co/4hGRRssTZv,en,54825,4805,886,313,['livelifefit'],0,0,2,2018,0,1,1,10,False,job done special partner birthday💪🏽❤️livelifefit,0.5714285714285714,0.35714285714285715,335682,87
641,2018-02-05 22:37:10+00:00,Cristiano,"Thanks @Nike for this amazing birthday gift!🎁👟👌🏽🔝
#24kgold #AF1 #CR7 https://t.co/LYDy58Vs13",en,73198,7613,1106,514,"['24kgold', 'AF1', 'CR7']",0,"[User(username='Nike', id=415859364, displayname='Nike', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",2,2018,1,3,1,11,False,thanks nike amazing birthday gift🎁👟👌🏽🔝 24kgold af1 cr7,0.55,0.4,644793,92
640,2018-02-06 08:08:41+00:00,Cristiano,#NovaFotoDoPerfil https://t.co/36nZtKDiMQ,qme,67203,6197,639,243,['NovaFotoDoPerfil'],0,0,2,2018,0,1,0,2,False,novafotodoperfil,0.0,0.0,1729,41
639,2018-02-06 08:09:04+00:00,Cristiano,#bornmercurial @nikefootball https://t.co/ugnl0Ef6Xb,qme,43295,4574,482,108,['bornmercurial'],0,"[User(username='nikefootball', id=41147159, displayname='Nike Football', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",2,2018,1,1,0,3,False,bornmercurial nikefootball,0.0,0.0,2703,52
638,2018-02-07 12:19:48+00:00,Cristiano,Me and my boy 💙 Rocking our @cr7limitless &amp; @cr7junior gear | https://t.co/rIL6OxcBQk #CR7Denim #CR7Jeans #CR7Squad https://t.co/wGuGCAP2mg,en,57404,4812,1060,181,"['CR7Denim', 'CR7Jeans', 'CR7Squad']",0,"[User(username='CR7limitless', id=847086754226167808, displayname='CR7', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='CR7JUNIOR', id=105973291, displayname='junior Paredes', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",2,2018,2,3,1,17,False,boy 💙 rocking cr7limitless amp cr7junior gear cr7denim cr7jeans cr7squad,0.0,0.0,134834,143
634,2018-02-15 11:05:33+00:00,Cristiano,One 🌍 where we all ❤ our children. Please help. #Rohingya #Refugee @SavetheChildren  https://t.co/t2eJN244Jl https://t.co/9ZPwe5olJC,en,78269,17149,1599,677,"['Rohingya', 'Refugee']",0,"[User(username='SavetheChildren', id=14055301, displayname='Save the Children US', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",2,2018,1,2,1,15,False,one 🌍 ❤ children please help rohingya refugee savethechildren,0.0,0.0,143516,132
631,2018-02-22 17:40:33+00:00,Cristiano,"Try to Keep Up 🐆 #BornMercurial
 
Introducing the Mercurial Superfly 360, available February 26 at https://t.co/oWxckoywkD https://t.co/UDvKWKjlNd",en,28125,3377,420,95,['BornMercurial'],0,0,2,2018,0,1,1,17,False,try keep 🐆 bornmercurial introducing mercurial superfly 360 available february 26,0.4,0.4,135589,146
